CCK,LP,1,, 1.0M,120,10548,0.0,0.0,100.0,0.0,0,0,0,6,6,0,0,4.0
CCK,LP,1,, 2.0M,121,5476,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
CCK,LP,1,, 5.5M,122,2411,2.4,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
CCK,LP,1,,11.0M,123,1535,4.8,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,LGI,1,,MCS0 ,0,1477,4.8,4.8,100.0,0.0,1,0,0,1,1,0,0,4.0
HT20,LGI,1,ABCDP,MCS1 ,1,739,12.2,7.3,74.1,14.1,2,32,40,3959,5271,0,0,4.0
HT20,LGI,1,,MCS2 ,2,493,17.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,LGI,1,,MCS3 ,3,369,21.9,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,LGI,1,,MCS4 ,4,246,34.1,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,LGI,1,,MCS5 ,5,185,43.9,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,LGI,1,,MCS6 ,6,164,48.8,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,LGI,1,,MCS7 ,7,148,53.7,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,SGI,1,,MCS0 ,30,1329,4.8,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,SGI,1,,MCS1 ,31,665,12.2,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,SGI,1,,MCS2 ,32,443,19.5,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,SGI,1,,MCS3 ,33,332,24.4,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,SGI,1,,MCS4 ,34,222,36.6,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,SGI,1,,MCS5 ,35,166,48.8,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,SGI,1,,MCS6 ,36,148,53.7,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,SGI,1,,MCS7 ,37,133,58.5,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0

CCK,LP,1,, 1.0M,120,10548,0.0,0.0,100.0,0.0,0,0,0,6,6,0,0,4.0
CCK,LP,1,, 2.0M,121,5476,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
CCK,LP,1,, 5.5M,122,2411,2.4,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
CCK,LP,1,,11.0M,123,1535,4.8,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,LGI,1,,MCS0 ,0,1477,4.8,4.8,100.0,0.0,1,0,0,1,1,0,0,4.0
HT20,LGI,1,ABCDP,MCS1 ,1,739,12.2,9.7,78.5,17.5,2,40,44,4611,6147,0,0,4.0
HT20,LGI,1,,MCS2 ,2,493,17.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,LGI,1,,MCS3 ,3,369,21.9,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,LGI,1,,MCS4 ,4,246,34.1,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,LGI,1,,MCS5 ,5,185,43.9,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,LGI,1,,MCS6 ,6,164,48.8,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,LGI,1,,MCS7 ,7,148,53.7,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,SGI,1,,MCS0 ,30,1329,4.8,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,SGI,1,,MCS1 ,31,665,12.2,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,SGI,1,,MCS2 ,32,443,19.5,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,SGI,1,,MCS3 ,33,332,24.4,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,SGI,1,,MCS4 ,34,222,36.6,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,SGI,1,,MCS5 ,35,166,48.8,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,SGI,1,,MCS6 ,36,148,53.7,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,SGI,1,,MCS7 ,37,133,58.5,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0

CCK,LP,1,, 1.0M,120,10548,0.0,0.0,100.0,0.0,0,0,0,6,6,0,0,4.0
CCK,LP,1,, 2.0M,121,5476,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
CCK,LP,1,, 5.5M,122,2411,2.4,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
CCK,LP,1,,11.0M,123,1535,4.8,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,LGI,1,,MCS0 ,0,1477,4.8,4.8,100.0,0.0,1,0,0,1,1,0,0,4.0
HT20,LGI,1,ABCDP,MCS1 ,1,739,12.2,9.7,77.1,17.3,2,32,40,5163,6883,0,0,4.0
HT20,LGI,1,,MCS2 ,2,493,17.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,LGI,1,,MCS3 ,3,369,21.9,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,LGI,1,,MCS4 ,4,246,34.1,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,LGI,1,,MCS5 ,5,185,43.9,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,LGI,1,,MCS6 ,6,164,48.8,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,LGI,1,,MCS7 ,7,148,53.7,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,SGI,1,,MCS0 ,30,1329,4.8,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,SGI,1,,MCS1 ,31,665,12.2,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,SGI,1,,MCS2 ,32,443,19.5,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,SGI,1,,MCS3 ,33,332,24.4,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,SGI,1,,MCS4 ,34,222,36.6,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,SGI,1,,MCS5 ,35,166,48.8,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,SGI,1,,MCS6 ,36,148,53.7,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
HT20,SGI,1,,MCS7 ,37,133,58.5,0.0,0.0,0.0,0,0,0,0,0,0,0,4.0
